Sr No.,Disease,Typical Symptoms,Unique Symptom,Confirm Symptom ,Recommendations
18,Obesity,"Weight gain, breathlessness on exertion, joint pain, fatigue",Excess-fat,"Snoring, Fatigue, Joint-pain, Breathless","No OTC suggestion; seek clinician. Home remedy: healthy diet, daily exercise."
19,Hyperthyroidism / Hypothyroidism,"Weight loss/gain, intolerance to heat/cold, fatigue, hair loss, irregular heartbeat",Goiter,"Weight-change, Fatigue, Mood-change, Hair-loss",No OTC suggestion; seek clinician.
20,Kidney disease / Chronic Kidney Disease,"Swelling of ankles, fatigue, changes in urination, nausea",Foamy-urine,"Swelling, Fatigue, Nausea, Poor-appetite",No OTC suggestion; seek clinician.
21,Liver Disease (Hepatitis),"Jaundice, fatigue, abdominal pain, nausea, dark urine",Jaundice,"Fatigue, Abdominal-pain, Dark-urine, Nausea",No OTC suggestion; seek clinician.
22,Gastroenteritis / Diarrheal illness,"Diarrhea, vomiting, stomach pain, dehydration",Watery-diarrhea,"Vomiting, Abdominal-cramp, Fever, Dehydration","Medications: ORS, loperamide; Home remedy: rehydration, BRAT diet."
23,Peptic ulcer disease,"Burning stomach pain, heartburn, nausea, bloating",Burning-stomach,"Nausea, Bloating, Indigestion, Vomiting-blood",No OTC suggestion; seek clinician.
24,Gastroesophageal Reflux Disease (GERD),"Heartburn, regurgitation, chest pain, bitter taste",Acid-reflux,"Heartburn, Regurgitation, Chest-pain, Cough",No OTC suggestion; seek clinician.
25,Irritable Bowel Syndrome (IBS),"Abdominal pain/cramps, bloating, diarrhea/constipation",Abdominal-bloating,"Cramp, Diarrhea, Constipation, Mucus-stool",No OTC suggestion; seek clinician.
26,Urinary Tract Infection (UTI),"Pain/burning when urinating, frequent urge, cloudy urine, lower abdominal pain",Burning-urination,"Frequency, Urgency, Cloudy-urine, Blood-urine","Medications: cranberry extract, pain relief; Home remedy: drink plenty of water."
27,Dengue,"High fever, severe headache, pain behind eyes, joint/muscle pain, rash",Retro-orbital-pain,"Fever, Rash, Joint-pain, Bleeding","Medications: paracetamol; Home remedy: fluids, rest. Avoid NSAIDs."
28,Malaria,"Fever, chills, sweating, headache, nausea, vomiting",Cyclical-fever,"Chills, Sweating, Headache, Fatigue","No OTC suggestion; seek clinician. Home remedy: fluids, rest."
29,Typhoid Fever,"Prolonged fever, headache, stomach pain, loss of appetite, rash",Rose-spots,"Prolonged-fever, Abdominal-pain, Weakness, Constipation","No OTC suggestion; seek clinician. Home remedy: hydration, bland diet."
30,Chickenpox,"Itchy rash, fever, fatigue, loss of appetite",Vesicular-rash,"Fever, Itching, Fatigue, Loss-appetite","Medications: calamine lotion, paracetamol; Home remedy: rest, oatmeal baths."
31,Measles,"Fever, cough, rash, runny nose, red eyes",Koplik-spots,"Fever, Rash, Cough, Conjunctivitis","Medications: paracetamol, vitamin A supplement; Home remedy: rest, fluids."
32,Hepatitis B / C,"Jaundice, fatigue, abdominal pain, dark urine, nausea",Dark-urine,"Fatigue, Abdominal-pain, Jaundice, Nausea",No OTC suggestion; seek clinician.
33,HIV / AIDS,"Fever, weight loss, swollen lymph nodes, opportunistic infections",Opportunistic-infections,"Fever, Weight-loss, Fatigue, Swollen-lymph-nodes",No OTC suggestion; seek clinician.
34,Skin Infections (Fungal / Bacterial),"Redness, itching, pus, irritation, swelling",Pustules,"Redness, Itching, Scaling, Pain",No OTC suggestion; seek clinician.
35,Allergies / Allergic Rhinitis,"Sneezing, runny nose, itchy eyes, congestion",Itchy-eyes,"Sneezing, Runny-nose, Congestion, Cough","Medications: cetirizine, loratadine; Home remedy: avoid dust, nasal saline rinse."
36,Sinusitis,"Facial pain/pressure, nasal congestion, runny nose, headache",Facial-pressure,"Nasal-congestion, Headache, Post-nasal-drip, Fever","Medications: paracetamol, nasal decongestant; Home remedy: steam inhalation, rest."
37,Otitis Media (Ear Infection),"Ear pain, fluid drainage, hearing loss, fever",Ear-pain,"Fever, Hearing-loss, Discharge, Irritability",No OTC suggestion; seek clinician.
38,Eye infections / Conjunctivitis,"Red eyes, tearing, discharge, itchiness, light sensitivity",Red-eye,"Tearing, Discharge, Itching, Swelling",Medications: lubricating drops; Home remedy: clean eyes with sterile water.
39,"Hypoxia / Respiratory Distress (e.g., due to pneumonia or asthma)","Shortness of breath, rapid breathing, bluish lips/fingers",Cyanosis,"Breathless, Rapid-breathing, Fatigue, Confusion","No OTC suggestion; seek clinician. Home remedy: rest, warm fluids."
40,Stroke / Transient Ischemic Attack (TIA),"(if TIA) temporary weakness/numbness, speech trouble, vision loss",Temporary-vision-loss,"Weakness, Slurred-speech, Dizziness, Numbness",No OTC suggestion; seek clinician.
41,Dental Caries / Tooth Decay / Gum Disease,"Toothache, sensitivity, bleeding gums, bad breath",Tooth-cavity,"Toothache, Sensitivity, Bleeding-gums, Bad-breath",No OTC suggestion; seek clinician.
42,Obstructive Sleep Apnea,"Loud snoring, daytime fatigue, morning headaches, choking at night",Loud-snoring,"Daytime-sleepiness, Gasping, Morning-headache, Fatigue",No OTC suggestion; seek clinician.
43,"Skin conditions: Acne, Eczema, Psoriasis","Itchy, red, scaly skin, rashes, sometimes oozing (eczema)",Acne-pimples,"Redness, Scaling, Itching, Pain","Medications: moisturizer, hydrocortisone cream; Home remedy: avoid irritants, use gentle soap."
44,Gallstones / Gallbladder Disease,"Upper right abdominal pain, nausea, vomiting, gas, sometimes fever",Upper-right-pain,"Nausea, Vomiting, Indigestion, Fatigue",No OTC suggestion; seek clinician.
45,Gout,"Intense joint pain (often big toe), swelling, redness",Big-toe-swelling,"Redness, Pain, Warmth, Joint-stiffness",No OTC suggestion; seek clinician.
46,Anemia (Iron deficiency especially),"Fatigue, paleness, dizziness, shortness of breath",Spoon-nails,"Fatigue, Pale-skin, Weakness, Shortness-breath","Medications: iron supplements (if prescribed); Home remedy: leafy greens, iron-rich food."
47,Thyroid disorders (as above),same as #19 but differentiated,Neck-swelling,"Weight-change, Fatigue, Mood-change, Hair-loss",No OTC suggestion; seek clinician.
48,"Obstructive disorders / Lung infections like bronchiectasis, etc.","Chronic productive cough, frequent infections, breathlessness",Foul-sputum,"Cough, Breathless, Fatigue, Recurrent-infection",No OTC suggestion; seek clinician.
49,"Viral Hepatitis, other liver infections","Jaundice, fatigue, abdominal pain, dark urine",Clay-stool,"Fatigue, Jaundice, Nausea, Abdominal-pain",No OTC suggestion; seek clinician.
50,COVID long-term effects / Long COVID,"Fatigue, brain fog, shortness of breath, sleep issues, joint pain",Brain-fog,"Fatigue, Breathless, Loss-smell, Muscle-pain","Medications: paracetamol, multivitamins; Home remedy: rest, fluids, steam inhalation. "
51,Depression (Major Depressive Disorder),"sadness, loss of interest, fatigue, appetite changes, sleep problems.",Anhedonia,"Sadness, Fatigue, Sleep-change, Hopelessness","No OTC suggestion; seek clinician. Home remedy: counseling, physical activity."
52,Generalized Anxiety Disorder (GAD),"excessive worry, restlessness, irritability, sleep disturbance.",Excessive-worry,"Restlessness, Fatigue, Irritability, Muscle-tension","No OTC suggestion; seek clinician. Home remedy: meditation, deep breathing."
53,Panic Disorder,"sudden panic attacks, palpitations, sweating, trembling, fear of losing control.",Panic-attack,"Palpitations, Sweating, Trembling, Shortness-breath",No OTC suggestion; seek clinician.
54,Social Anxiety Disorder,"fear of social situations, avoidance, blushing, sweating, rapid heartbeat.",Social-fear,"Blushing, Avoidance, Trembling, Palpitations","No OTC suggestion; seek clinician. Home remedy: meditation, deep breathing."
55,Obsessive Compulsive Disorder (OCD),"intrusive thoughts, compulsive behaviors (checking, cleaning).",Compulsions,"Obsessions, Anxiety, Repetitive-action, Distress",No OTC suggestion; seek clinician.
56,Post-Traumatic Stress Disorder (PTSD),"flashbacks, nightmares, hypervigilance, avoidance of triggers.",Flashbacks,"Nightmares, Hypervigilance, Avoidance, Irritability",No OTC suggestion; seek clinician.
57,Bipolar Disorder,"mood swings between depression and mania (high energy, impulsivity, less sleep).",Mania,"Depressed-mood, Impulsivity, High-energy, Sleep-decreased",No OTC suggestion; seek clinician.
58,Schizophrenia,"hallucinations, delusions, disorganized speech/thought, lack of motivation.",Auditory-hallucination,"Delusions, Disorganized-speech, Social-withdrawal, Flat-affect",No OTC suggestion; seek clinician.
59,Substance Use Disorder (Addiction),"craving, inability to control use, withdrawal symptoms.",Craving,"Withdrawal, Tolerance, Compulsive-use, Neglect-activities",No OTC suggestion; seek clinician.
60,Eating Disorders (Anorexia / Bulimia / Binge Eating),"extreme weight control behaviors, distorted body image, overeating + guilt.",Fear-weight-gain,"Restricting-food, Binge-eating, Purging, Distorted-body",No OTC suggestion; seek clinician.
61,ADHD (Attention Deficit Hyperactivity Disorder),"inattention, hyperactivity, impulsivity.",Inattention,"Hyperactivity, Impulsivity, Forgetfulness, Restlessness",No OTC suggestion; seek clinician.
62,Insomnia / Sleep Disorders,"difficulty falling asleep, waking often, daytime fatigue.",Sleep-difficulty,"Fatigue, Daytime-sleepiness, Irritability, Concentration","Medications: melatonin (if pharmacist advises); Home remedy: sleep hygiene, avoid caffeine."
